tourney_id,tourney_name,surface,drap1_size,tourney_level,tourney_date,match_num,p1_id,p1_name,p1_hand,p1_ioc,p1_age,p1_rank,p1_rank_points,p2_id,p2_name,p2_hand,p2_ioc,p2_age,p2_rank,p2_rank_points,p1_win_prob_20w,p1_ace_prob_20w,p1_df_prob_20w,p1_svptWon_prob_20w,p2_win_prob_20w,p2_ace_prob_20w,p2_df_prob_20w,p2_svptWon_prob_20w,p1_surface_win_prob_20w,p2_surface_win_prob_20w,p1_win,diff_points
2016-0451,Doha,Hard,32.0,A,20160104.0,270.0,104745.0,Rafael Nadal,L,ESP,29.58795346,5.0,5230.0,105807.0,Pablo Carreno Busta,R,ESP,24.48186174,67.0,734.0,,,,,,,,,,,1,10
2016-M020,Brisbane,Hard,32.0,A,20160104.0,271.0,104797.0,Denis Istomin,R,UZB,29.32511978,61.0,781.0,105062.0,Mikhail Kukushkin,R,KAZ,28.02464066,65.0,762.0,,,,,,,,,,,0,5
2016-0891,Chennai,Hard,32.0,A,20160104.0,271.0,106368.0,Ramkumar Ramanathan,R,IND,21.15537303,248.0,209.0,104593.0,Daniel Gimeno Traver,R,ESP,30.40930869,98.0,590.0,,,,,,,,,,,0,0
2016-0451,Doha,Hard,32.0,A,20160104.0,271.0,106234.0,Aslan Karatsev,R,RUS,22.33264887,195.0,254.0,104898.0,Robin Haase,R,NED,28.74743326,66.0,740.0,,,,,,,,,,,0,2
2016-M020,Brisbane,Hard,32.0,A,20160104.0,272.0,105583.0,Dusan Lajovic,R,SRB,25.51403149,76.0,678.0,103285.0,Radek Stepanek,R,CZE,37.10335387,197.0,252.0,,,,,,,,,,,0,3
2016-0891,Chennai,Hard,32.0,A,20160104.0,272.0,104563.0,Luca Vanni,R,ITA,30.58453114,106.0,552.0,105526.0,Jan Lennard Struff,R,GER,25.69472964,107.0,547.0,,,,,,,,,,,1,5
2016-0451,Doha,Hard,32.0,A,20160104.0,272.0,105723.0,Andrey Kuznetsov,R,RUS,24.86516085,79.0,663.0,104947.0,Marsel Ilhan,R,TUR,28.56673511,114.0,520.0,,,,,,,,,,,1,5
2016-M020,Brisbane,Hard,32.0,A,20160104.0,273.0,106071.0,Bernard Tomic,R,AUS,23.20328542,18.0,1675.0,103917.0,Nicolas Mahut,R,FRA,33.95208761,71.0,710.0,,,,,,,,,,,1,7
2016-0891,Chennai,Hard,32.0,A,20160104.0,273.0,105577.0,Vasek Pospisil,R,CAN,25.53319644,39.0,1075.0,105379.0,Aljaz Bedene,R,GBR,26.46406571,45.0,939.0,,,,,,,,,,,0,5
2016-0451,Doha,Hard,32.0,A,20160104.0,273.0,105575.0,Ricardas Berankis,R,LTU,25.53867214,85.0,641.0,104312.0,Andreas Seppi,R,ITA,31.86858316,29.0,1360.0,,,,,,,,,,,0,4
