tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,p1_id,p1_name,p1_hand,p1_ioc,p1_age,p1_rank,p1_rank_points,p2_id,p2_name,p2_hand,p2_ioc,p2_age,p2_rank,p2_rank_points,p1_win_prob_20w,p1_ace_prob_20w,p1_df_prob_20w,p1_svptWon_prob_20w,p2_win_prob_20w,p2_ace_prob_20w,p2_df_prob_20w,p2_svptWon_prob_20w,p1_surface_win_prob_20w,p2_surface_win_prob_20w,p1_win,diff_points
2017-0451,Doha,Hard,32,A,20170102,270,104925,Novak Djokovic,R,SRB,29.6180698152,2,11780,105526,Jan Lennard Struff,R,GER,26.6913073238,63,758,0.75,0.049626104690687,0.041468388851122,0.660095173351462,0.6,0.092120509849363,0.060834298957126,0.636152954808807,0.75,0.5,1,7
2017-M020,Brisbane,Hard,32,A,20170102,271,106415,Yoshihito Nishioka,L,JPN,21.2676249144,100,604,104678,Viktor Troicki,R,SRB,30.893908282,29,1385,0.45,0.032281205164993,0.031563845050215,0.631276901004304,0.65,0.128345498783455,0.031021897810219,0.64294403892944,0.45,0.65,0,2
2017-0891,Chennai,Hard,32,A,20170102,271,104297,Rogerio Dutra Silva,R,BRA,32.9144421629,98,613,105583,Dusan Lajovic,R,SRB,26.5106091718,93,627,0.181818181818182,0.04643261608154,0.048697621744054,0.594563986409966,0.4,0.046791443850267,0.023395721925134,0.657754010695187,0.2,0.35,0,8
2017-0451,Doha,Hard,32,A,20170102,271,104252,Florian Mayer,R,GER,33.2457221081,50,903,104547,Horacio Zeballos,L,ARG,31.6851471595,71,722,0.4,0.066152858060373,0.02504816955684,0.62684649967887,0.45,0.080761654629022,0.04005252790545,0.636244254760341,0.142857142857143,0.636363636363636,0,2
2017-M020,Brisbane,Hard,32,A,20170102,272,124014,Ernesto Escobedo,R,USA,20.4982888433,141,443,106378,Kyle Edmund,R,GBR,21.9849418207,45,1001,0.333333333333333,0.0875,0.039583333333333,0.647916666666667,0.4,0.075351213282248,0.038314176245211,0.636015325670498,0.333333333333333,0.4,0,2
2017-0891,Chennai,Hard,32,A,20170102,272,105952,Renzo Olivo,R,ARG,24.8021902806,83,670,134770,Casper Ruud,R,NOR,18.0314852841,225,231,0.411764705882353,0.055184960582171,0.057004244996968,0.604002425712553,0.333333333333333,0.093567251461988,0.052631578947369,0.631578947368421,0.25,0.333333333333333,1,8
2017-0451,Doha,Hard,32,A,20170102,272,105963,Arthur De Greef,R,BEL,24.7693360712,134,456,105633,Mohamed Safwat,R,EGY,26.288843258,199,278,,,,,0.5,0.028301886792453,0.031446540880503,0.531446540880503,,,1,3
2017-M020,Brisbane,Hard,32,A,20170102,273,106298,Lucas Pouille,R,FRA,22.8583162218,15,2156,104468,Gilles Simon,R,FRA,32.0164271047,25,1585,0.6,0.107633168588688,0.045030203185063,0.635365183964854,0.6,0.041405269761606,0.031994981179423,0.587202007528231,0.6,0.6,1,8
2017-0891,Chennai,Hard,32,A,20170102,273,105031,Saketh Myneni,R,IND,29.2073921971,192,287,104022,Mikhail Youzhny,R,RUS,34.5242984257,57,826,0.333333333333333,0.101876675603217,0.045576407506703,0.549597855227882,0.45,0.046894031668697,0.03836784409257,0.599269183922046,0,0.5,0,1
2017-0451,Doha,Hard,32,A,20170102,273,103285,Radek Stepanek,R,CZE,38.0999315537,107,558,104571,Marcos Baghdatis,R,CYP,31.5455167693,36,1140,0.35,0.071342925659473,0.046762589928058,0.629496402877698,0.45,0.066031313818925,0.044928522804629,0.616065350578625,0.4,0.45,0,1
2017-0451,Doha,Hard,32,A,20170102,274,104898,Robin Haase,R,NED,29.7440109514,59,795,105676,David Goffin,R,BEL,26.0725530459,11,2750,0.35,0.099197247706422,0.033256880733945,0.639908256880734,0.7,0.076276664511959,0.0530058177117,0.614738202973497,0.25,0.7,0,8
2017-M020,Brisbane,Hard,32,A,20170102,275,104180,Gilles Muller,L,LUX,33.6536618754,34,1255,111577,Jared Donaldson,R,USA,20.2327173169,105,570,0.45,0.176997245179063,0.056473829201102,0.695592286501377,0.235294117647059,0.067953667953668,0.045559845559846,0.622393822393822,0.45,0.25,0,0
2017-0891,Chennai,Hard,32,A,20170102,275,105379,Aljaz Bedene,R,GBR,27.4606433949,101,592,104198,Guillermo Garcia Lopez,R,ESP,33.582477755,70,725,0.4,0.103828306264501,0.033642691415313,0.618909512761021,0.45,0.05090206185567,0.059278350515464,0.594072164948454,0.5,0.4,0,3
2017-0451,Doha,Hard,32,A,20170102,275,104269,Fernando Verdasco,L,ESP,33.1334702259,42,1035,105577,Vasek Pospisil,R,CAN,26.5297741273,133,456,0.3,0.074716477651768,0.056704469646431,0.624416277518346,0.25,0.109416445623342,0.046419098143236,0.637931034482759,0.3,0.4,1,6
2017-M020,Brisbane,Hard,32,A,20170102,276,111442,Jordan Thompson,R,AUS,22.7049965777,79,689,111200,Elias Ymer,R,SWE,20.7310061602,160,372,0.230769230769231,0.071098799630656,0.033240997229917,0.647276084949215,0.111111111111111,0.05524861878453,0.042817679558011,0.581491712707182,0.25,0,1,3
2017-0891,Chennai,Hard,32,A,20170102,276,106026,Yuki Bhambri,R,IND,24.4982888433,474,83,106368,Ramkumar Ramanathan,R,IND,22.1519507187,227,231,0.333333333333333,0.034042553191489,0.059574468085106,0.531914893617021,0.375,0.083946980854197,0.044182621502209,0.62739322533137,0.333333333333333,0.166666666666667,0,9
2017-0451,Doha,Hard,32,A,20170102,276,122570,Mubarak Al Harrasi,U,QAT,21.7221081451,1277,5,111575,Karen Khachanov,R,RUS,20.6187542779,53,863,0,0.018518518518519,0.037037037037037,0.407407407407407,0.5,0.101941747572816,0.040655339805825,0.64381067961165,0,0.538461538461538,0,6
2017-M020,Brisbane,Hard,32,A,20170102,277,103970,David Ferrer,R,ESP,34.7542778919,21,1785,106071,Bernard Tomic,R,AUS,24.1998631075,26,1465,0.65,0.043160690571049,0.050464807436919,0.638114209827357,0.65,0.114039806347499,0.034427111350188,0.646046261430877,0.7,0.55,1,4
2017-0891,Chennai,Hard,32,A,20170102,277,105332,Benoit Paire,R,FRA,27.6550308008,47,960,104505,Konstantin Kravchuk,R,RUS,31.8576317591,85,660,0.55,0.097886540600667,0.057285873192436,0.590100111234705,0.714285714285714,0.070796460176991,0.028318584070797,0.633628318584071,0.55,0.8,1,4
2017-0451,Doha,Hard,32,A,20170102,277,103333,Ivo Karlovic,R,CRO,37.8453114305,20,1795,105011,Illya Marchenko,R,UKR,29.3196440794,74,705,0.6,0.239520958083832,0.068045726728362,0.713663581927055,0.3,0.0625,0.062,0.602,0.6,0.4,1,3
2017-M020,Brisbane,Hard,32,A,20170102,278,105777,Grigor Dimitrov,R,BUL,25.6344969199,17,2035,105449,Steve Johnson,R,USA,27.0253251198,33,1320,0.65,0.070165094339623,0.04186320754717,0.654481132075472,0.6,0.088495575221239,0.035398230088496,0.658270932607216,0.65,0.6,1,2
2017-0891,Chennai,Hard,32,A,20170102,278,106432,Borna Coric,R,CRO,20.1341546886,48,945,111202,Hyeon Chung,R,KOR,20.6242299795,104,571,0.3,0.083547557840617,0.032133676092545,0.639460154241645,0.35,0.035663338088445,0.019971469329529,0.608416547788873,0.35,0.384615384615385,0,3
2017-0451,Doha,Hard,32,A,20170102,278,105723,Andrey Kuznetsov,R,RUS,25.8617385352,46,970,104542,Jo Wilfried Tsonga,R,FRA,31.7125256674,12,2550,0.4,0.078980891719745,0.047770700636943,0.640127388535032,0.8,0.122629582806574,0.046776232616941,0.674462705436157,0.5,0.8,0,2
2017-M020,Brisbane,Hard,32,A,20170102,279,103917,Nicolas Mahut,R,FRA,34.9486652977,39,1102,103565,Stephane Robert,R,FRA,36.629705681,54,854,0.5,0.074922600619195,0.0328173374613,0.661919504643963,0.45,0.049773755656109,0.062055591467356,0.573367808661926,0.4,0.5,1,13
2017-0891,Chennai,Hard,32,A,20170102,279,106000,Damir Dzumhur,R,BIH,24.6214921287,77,699,104534,Dudi Sela,R,ISR,31.7481177276,96,616,0.45,0.027537796976242,0.032397408207344,0.598812095032397,0.4,0.030131826741996,0.042686754551161,0.595103578154426,0.4,0.416666666666667,0,11
2017-0451,Doha,Hard,32,A,20170102,279,104460,Dustin Brown,R,GER,32.0684462697,72,710,105487,Facundo Bagnis,L,ARG,26.8473648186,56,835,0.4,0.070594774874931,0.047804335742079,0.64313507504169,0.411764705882353,0.044877222692633,0.060118543607113,0.582557154953429,0.454545454545455,0,0,0
2017-M020,Brisbane,Hard,32,A,20170102,280,105732,Pierre Hugues Herbert,R,FRA,25.7960301164,78,698,105032,Samuel Groth,R,AUS,29.2073921971,180,320,0.368421052631579,0.110503282275711,0.053063457330416,0.647702407002188,0.263157894736842,0.189008042895442,0.07372654155496,0.632037533512064,0.363636363636364,0.25,0,12
2017-0891,Chennai,Hard,32,A,20170102,280,104327,Steve Darcis,R,BEL,32.8076659822,86,658,105254,Nikola Mektic,R,CRO,28.0246406571,331,144,0.222222222222222,0.050261780104712,0.037696335078534,0.63455497382199,0,0.065573770491803,0.027322404371585,0.612021857923497,0.142857142857143,,1,5
2017-0451,Doha,Hard,32,A,20170102,280,106210,Jiri Vesely,L,CZE,23.4825462012,55,848,105551,Anil Yuksel,L,TUR,26.6255989049,507,73,0.5,0.105473204104903,0.046750285062714,0.660205245153934,,,,,0.25,,1,2
2017-0451,Doha,Hard,32,A,20170102,281,104607,Tomas Berdych,R,CZE,31.2936344969,10,3060,105561,Alessandro Giannessi,L,ITA,26.5954825462,128,475,0.8,0.133793969849246,0.045226130653266,0.677763819095477,0,0.042452830188679,0.075471698113208,0.60377358490566,0.8,0,1,4
2017-M020,Brisbane,Hard,32,A,20170102,282,105238,Alexandr Dolgopolov,R,UKR,28.1533196441,62,760,104745,Rafael Nadal,L,ESP,30.5845311431,9,3300,0.45,0.092193808882907,0.046433378196501,0.6278600269179,0.7,0.026402640264026,0.028382838283828,0.64026402640264,0.45,0.65,0,6
2017-0891,Chennai,Hard,32,A,20170102,282,104229,Yen Hsun Lu,R,TPE,33.3880903491,64,754,105430,Radu Albot,R,MDA,27.1430527036,97,614,0.4375,0.086546700942588,0.047986289631534,0.646101113967438,0.266666666666667,0.022873481057899,0.035025017869907,0.571122230164403,0.461538461538462,0.375,1,4
2017-0451,Doha,Hard,32,A,20170102,282,104259,Philipp Kohlschreiber,R,GER,33.2156057495,32,1325,104291,Malek Jaziri,R,TUN,32.9527720739,58,814,0.6,0.080814717477004,0.039421813403417,0.644546649145861,0.5,0.057093425605536,0.038062283737024,0.628604382929643,0.55,0.45,1,3
2017-M020,Brisbane,Hard,32,A,20170102,283,104999,Mischa Zverev,L,GER,29.3661875428,51,874,200282,Alex De Minaur,R,AUS,17.8754277892,351,132,0.35,0.07909604519774,0.031073446327684,0.667372881355932,,,,,0.35,,1,16
2017-0891,Chennai,Hard,32,A,20170102,283,106421,Daniil Medvedev,R,RUS,20.8925393566,99,611,106329,Thiago Monteiro,L,BRA,22.5927446954,82,674,0.2,0.07012987012987,0.025974025974026,0.611688311688312,0.384615384615385,0.038338658146965,0.026624068157615,0.617678381256656,0.4,0,0,8
2017-0451,Doha,Hard,32,A,20170102,283,103893,Paolo Lorenzi,R,ITA,35.0499657769,40,1090,104597,Nicolas Almagro,R,ESP,31.3675564682,44,1013,0.6,0.038130381303813,0.040590405904059,0.605781057810578,0.6,0.11147362697118,0.053289831430125,0.635127786840674,0.6,0.611111111111111,0,1
2017-M020,Brisbane,Hard,32,A,20170102,284,106043,Diego Sebastian Schwartzman,R,ARG,24.3805612594,52,864,105023,Sam Querrey,R,USA,29.2402464066,31,1355,0.4,0.026867627785059,0.026867627785059,0.594364351245085,0.55,0.177789934354486,0.039934354485777,0.683807439824945,0.4375,0.6,0,6
2017-0891,Chennai,Hard,32,A,20170102,284,106075,Jozef Kovalik,R,SVK,24.1615331964,117,501,105671,Gastao Elias,R,POR,26.1081451061,81,675,0.230769230769231,0.038297872340426,0.035744680851064,0.608510638297872,0.4,0.061279461279461,0.02962962962963,0.619528619528619,0.142857142857143,0.5,0,13
2017-0451,Doha,Hard,32,A,20170102,284,105589,Gerald Melzer,L,AUT,26.4750171116,68,728,103908,Paul Henri Mathieu,R,FRA,34.9733059548,73,710,0.363636363636364,0.032293986636971,0.037861915367483,0.599109131403118,0.45,0.054054054054054,0.060517038777908,0.603407755581669,0,0.333333333333333,1,11
2017-0451,Doha,Hard,32,A,20170102,285,104918,Andy Murray,R,GBR,29.6372347707,1,12410,104871,Jeremy Chardy,R,FRA,29.8891170431,69,725,1,0.072264280798348,0.041982105987612,0.673090158293187,0.65,0.09029484029484,0.058968058968059,0.641277641277641,1,0.7,1,8
2017-M020,Brisbane,Hard,32,A,20170102,286,104527,Stanislas Wawrinka,R,SUI,31.7672826831,4,5315,104678,Viktor Troicki,R,SRB,30.893908282,29,1385,0.75,0.0751269035533,0.024873096446701,0.661928934010152,0.7,0.135603715170279,0.030959752321982,0.645820433436533,0.75,0.7,1,6
2017-0891,Chennai,Hard,32,A,20170102,286,104297,Rogerio Dutra Silva,R,BRA,32.9144421629,98,613,105138,Roberto Bautista Agut,R,ESP,28.720054757,14,2350,0.166666666666667,0.053,0.047,0.599,0.65,0.035714285714286,0.027239709443099,0.622881355932203,0.166666666666667,0.65,0,2
2017-0451,Doha,Hard,32,A,20170102,286,104925,Novak Djokovic,R,SRB,29.6180698152,2,11780,104547,Horacio Zeballos,L,ARG,31.6851471595,71,722,0.75,0.049046321525886,0.044277929155313,0.659400544959128,0.5,0.081321473951715,0.039390088945362,0.637865311308767,0.75,0.666666666666667,1,7
2017-M020,Brisbane,Hard,32,A,20170102,287,106298,Lucas Pouille,R,FRA,22.8583162218,15,2156,106378,Kyle Edmund,R,GBR,21.9849418207,45,1001,0.65,0.107317073170732,0.042818428184282,0.63739837398374,0.45,0.076481835564054,0.037603569152326,0.639260675589547,0.65,0.45,0,7
2017-0891,Chennai,Hard,32,A,20170102,287,104022,Mikhail Youzhny,R,RUS,34.5242984257,57,826,105952,Renzo Olivo,R,ARG,24.8021902806,83,670,0.45,0.045710707576706,0.039448966812774,0.597370068879148,0.444444444444444,0.056173200702165,0.056173200702165,0.609128145114102,0.526315789473684,0.4,1,2
2017-0451,Doha,Hard,32,A,20170102,287,103285,Radek Stepanek,R,CZE,38.0999315537,107,558,105963,Arthur De Greef,R,BEL,24.7693360712,134,456,0.3,0.069086651053864,0.048594847775176,0.624121779859485,1,0.053571428571429,0.017857142857143,0.669642857142857,0.363636363636364,1,1,2
2017-M020,Brisbane,Hard,32,A,20170102,288,105453,Kei Nishikori,R,JPN,27.0116358658,5,4905,111577,Jared Donaldson,R,USA,20.2327173169,105,570,0.65,0.046301864101022,0.039085989176188,0.647624774503909,0.277777777777778,0.074074074074074,0.045185185185185,0.626666666666667,0.65,0.294117647058824,1,15
2017-0891,Chennai,Hard,32,A,20170102,288,105373,Martin Klizan,L,SVK,27.4798083504,35,1230,105379,Aljaz Bedene,R,GBR,27.4606433949,101,592,0.4,0.062099871959027,0.049295774647887,0.601152368758003,0.4,0.103146853146853,0.035547785547786,0.625291375291375,0.4,0.466666666666667,0,11
2017-0451,Doha,Hard,32,A,20170102,288,104269,Fernando Verdasco,L,ESP,33.1334702259,42,1035,105676,David Goffin,R,BEL,26.0725530459,11,2750,0.3,0.072799470549305,0.056915949702184,0.623428193249504,0.7,0.073929961089494,0.051880674448768,0.607652399481193,0.3,0.7,0,14
2017-M020,Brisbane,Hard,32,A,20170102,289,111442,Jordan Thompson,R,AUS,22.7049965777,79,689,103970,David Ferrer,R,ESP,34.7542778919,21,1785,0.285714285714286,0.069087688219664,0.031886625332152,0.649247121346324,0.65,0.045423728813559,0.051525423728814,0.63864406779661,0.333333333333333,0.7,0,7
2017-0891,Chennai,Hard,32,A,20170102,289,105332,Benoit Paire,R,FRA,27.6550308008,47,960,106026,Yuki Bhambri,R,IND,24.4982888433,474,83,0.6,0.100117096018735,0.058548009367682,0.594847775175644,0.25,0.029520295202952,0.059040590405904,0.568265682656827,0.55,0.25,1,4
2017-0451,Doha,Hard,32,A,20170102,289,103333,Ivo Karlovic,R,CRO,37.8453114305,20,1795,111575,Karen Khachanov,R,RUS,20.6187542779,53,863,0.65,0.234782608695652,0.067934782608696,0.716304347826087,0.5,0.103994927076728,0.040583386176284,0.650602409638554,0.65,0.571428571428571,1,8
2017-M020,Brisbane,Hard,32,A,20170102,290,105777,Grigor Dimitrov,R,BUL,25.6344969199,17,2035,103917,Nicolas Mahut,R,FRA,34.9486652977,39,1102,0.7,0.069823922282939,0.040072859744991,0.658773527625987,0.5,0.07601246105919,0.033021806853583,0.661682242990654,0.7,0.45,1,2
2017-0891,Chennai,Hard,32,A,20170102,290,111202,Hyeon Chung,R,KOR,20.6242299795,104,571,104534,Dudi Sela,R,ISR,31.7481177276,96,616,0.4,0.036690647482014,0.02158273381295,0.607194244604317,0.4,0.030856423173804,0.040931989924433,0.597607052896725,0.428571428571429,0.461538461538462,0,2
2017-0451,Doha,Hard,32,A,20170102,290,104460,Dustin Brown,R,GER,32.0684462697,72,710,104542,Jo Wilfried Tsonga,R,FRA,31.7125256674,12,2550,0.35,0.071862907683803,0.047540077390824,0.6489773355445,0.8,0.12484237074401,0.047288776796974,0.680958385876419,0.416666666666667,0.8,0,6
2017-M020,Brisbane,Hard,32,A,20170102,291,106233,Dominic Thiem,R,AUT,23.3319644079,8,3415,105032,Samuel Groth,R,AUS,29.2073921971,180,320,0.65,0.082614942528736,0.037356321839081,0.633620689655172,0.3,0.188986232790989,0.071964956195244,0.635794743429287,0.6,0.307692307692308,1,2
2017-0891,Chennai,Hard,32,A,20170102,291,105077,Albert Ramos,L,ESP,28.9609856263,27,1435,104327,Steve Darcis,R,BEL,32.8076659822,86,658,0.65,0.05134328358209,0.040597014925373,0.606567164179104,0.3,0.049295774647887,0.036217303822938,0.641851106639839,0.65,0.25,1,8
2017-0451,Doha,Hard,32,A,20170102,291,104607,Tomas Berdych,R,CZE,31.2936344969,10,3060,106210,Jiri Vesely,L,CZE,23.4825462012,55,848,0.8,0.133418858242463,0.04554201411161,0.679923027581783,0.5,0.106979405034325,0.046910755148742,0.660183066361556,0.8,0.3,1,3
2017-M020,Brisbane,Hard,32,A,20170102,292,104999,Mischa Zverev,L,GER,29.3661875428,51,874,104745,Rafael Nadal,L,ESP,30.5845311431,9,3300,0.4,0.077848549186129,0.032554847841472,0.669497523000708,0.7,0.027815468113976,0.027137042062415,0.639755766621438,0.4,0.65,0,2
2017-0891,Chennai,Hard,32,A,20170102,292,104229,Yen Hsun Lu,R,TPE,33.3880903491,64,754,106421,Daniil Medvedev,R,RUS,20.8925393566,99,611,0.470588235294118,0.087136929460581,0.049792531120332,0.64896265560166,0.181818181818182,0.073634204275535,0.028503562945368,0.612826603325416,0.5,0.333333333333333,0,10
